country,year,corruption_index,homicide_rate,GDP,total_fisheries_per_ton,total_military,population,unemployment_rate,totalgr,industryofgdp
ABW,1993,NA,NA,14936.82722,260,NA,72504,NA,NA,NA
ABW,1994,NA,NA,16241.04652,260,NA,76700,NA,NA,NA
ABW,1995,NA,7.469747523,16439.35636,140,NA,80324,NA,NA,0.153986419
ABW,1996,NA,NA,16586.06844,160,NA,83200,NA,0.31582996,0.149866606
ABW,1997,NA,NA,17927.74964,205,NA,85451,NA,0.279613421,0.171327192
ABW,1998,NA,NA,19078.34319,182,NA,87277,NA,0.271855082,0.175136637
ABW,1999,NA,2.24696379,19356.20339,175,NA,89005,NA,0.291309987,0.155492718
ABW,2000,NA,NA,20620.70063,163,NA,90853,NA,0.275142771,0.158253516
ABW,2001,NA,4.306075873,20669.03197,163,NA,92898,NA,0.265960577,0.159113471
ABW,2002,NA,5.263601145,20436.88713,163,NA,94992,NA,0.262496346,0.152834245
ABW,2003,NA,4.123031253,20833.76161,160,NA,97017,NA,0.327968263,0.167927032
ABW,2004,NA,2.02543952,22569.97499,162,NA,98737,NA,0.251014765,0.175977187
ABW,2005,NA,5.99832047,23300.03956,162,NA,100031,NA,0.255698023,0.185044104
ABW,2006,NA,4.958841615,24045.27248,145,NA,100834,NA,0.272265805,0.19572765
ABW,2007,NA,2.963665461,25835.13267,159,NA,101222,NA,0.263586031,0.189801111
ABW,2008,NA,4.932815059,27084.70369,151,NA,101358,NA,0.273327731,0.180314001
ABW,2009,NA,3.942751252,24630.45371,163,NA,101455,NA,0.248,0.16175408
ABW,2010,NA,3.934490729,23512.6026,153,NA,101669,NA,0.277,NA
ABW,2011,NA,1.959823616,24985.99328,168,NA,102046,NA,0.215,NA
ABW,2012,NA,3.899965875,24713.69805,138,NA,102560,NA,0.224406071,NA
ABW,2013,NA,5.815925944,26189.43551,142,NA,103159,NA,0.246733492,NA
ABW,2014,NA,1.927227875,26647.9381,142,NA,103774,NA,0.235715792,NA
ABW,2015,NA,NA,27980.8807,142,NA,104341,NA,0.262972188,NA
ABW,2016,NA,NA,28281.35048,142,NA,104872,NA,0.265769554,NA
ABW,2017,NA,NA,29007.693,NA,NA,105366,NA,0.253597497,NA
ABW,2018,NA,NA,NA,NA,NA,105845,NA,0.256730008,NA
ABW,2019,NA,NA,NA,NA,NA,106314,NA,NA,NA
ABW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,1993,NA,NA,NA,1500,45000,15816603,11.44200039,NA,NA
AFG,1994,NA,NA,NA,1600,45000,17075727,11.47000027,NA,NA
AFG,1995,NA,NA,NA,1600,383000,18110657,11.47700024,NA,NA
